Topic,Count,Name,Representation,Representative_Docs
-1,867,-1_application_app_compte_jour,"['application', 'app', 'compte', 'jour', 'mise', 'mise jour', 'service', 'problème', 'passe', 'fonctionne']","['arrive accéder compte uib mobile mise jour effectuée', 'application lente obsolète aucune mise jour presque ailleurs impossible effectuer virements application accepte mot passe créé intranet', 'arrive connecter application fonctionne']"
0,1247,0_bien_bien bien_bravo_good,"['bien', 'bien bien', 'bravo', 'good', 'excellent', 'excellente', 'fonctionne', 'ممتاز', 'jour', 'mise']","['bien', 'bien', 'bien']"
1,954,1_application_app_bonne_bonne application,"['application', 'app', 'bonne', 'bonne application', 'fonctionne', 'application fonctionne', 'excellente application', 'application application', 'excellente', 'marche']","['application', 'application', 'application']"
2,323,2_service_banque_compte_bancaire,"['service', 'banque', 'compte', 'bancaire', 'application', 'jour', 'mois', 'fonctionne', 'carte', 'mise']","['service', 'service', 'service']"
3,146,3_login_password_numéro_sms,"['login', 'password', 'numéro', 'sms', 'app', 'add', 'account', 'notifications', 'message', 'log']","['add login fingerprint hassle input login password single time update freaking old seriously look kuwait burgan app gulf kfh year ahead app freeee', 'login', 'app work properly day ago started ask change password everytime try log access account change password trouble waiting confirmation message phone number come hope solved soon']"
4,128,4_nulle_null_application nulle_zéro,"['nulle', 'null', 'application nulle', 'zéro', 'zero', 'application', 'nulle fonctionne', 'null application', 'nulle application', 'application zéro']","['application nulle', 'application nulle', 'application nulle']"
5,124,5_lente_trop_version_trop lente,"['lente', 'trop', 'version', 'trop lente', 'slow', 'ancienne', 'ancienne version', 'nouvelle', 'update', 'application lente']","['trop lente', 'trop lente', 'trop lente']"
6,102,6_العربية_اللغة_اللغة العربية_tunisie,"['العربية', 'اللغة', 'اللغة العربية', 'tunisie', 'التطبيق', 'tunisian', 'يدعم', 'يدعم اللغة', 'language', 'english']","['التطبيق يدعم اللغة العربية', 'اللغة العربية', 'اللغة العربية']"
7,75,7_connecter_connexion_impossible connecter_impossible,"['connecter', 'connexion', 'impossible connecter', 'impossible', 'service', 'application', 'problème', 'arrive connecter', 'problème connexion', 'indisponible']","['arrive connecter', 'dernière mise jour impossible connecter', 'impossible connecter']"
8,6,8_page_blanche_page blanche_page page,"['page', 'blanche', 'page blanche', 'page page', 'demeure blanche', 'demeure', 'blanche الصفحة', 'application page', 'blanche rien', 'blanche page']","['accéder application page demeure blanche', 'page blanche rien désinstaller', 'page blanche']"
